artist,lot,address,image,title,date,type,size,estimate_price,hammer_price,auction_house
/artist/8595/marlene-dumas/,22,/artist/8595/marlene-dumas/print-multiple/20906190/doornrosie,https://imgprivate2.artprice.com/lots/NjM4MjExODEzNjU0Njk3NDgyMS0=/NzE1MDMwMDE5ODkyNjg0MzUxLQ==/OTYzODE0NDg2MDkxMjYzMjkyNTEt/NjM0MDQ2NzgxODc2NTU4OTMwMDEt/sml,Doornrosie,(1989),"Print-Multiple, Lithograph,","13 1/6 , 16 3/4","1198,1797",1198,"Strauss & Co,South Africa"
/artist/8595/marlene-dumas/,24,/artist/8595/marlene-dumas/print-multiple/20906196/a-long-silence,https://imgprivate2.artprice.com/lots/NjM4MjExODEzNjU0Njk3NDgyMS0=/NTQwNjMyNjA4MjQ2NjIwNjExLQ==/NDMxNzQ2Nzk1MTMyOTcxMDU4Ni0=/MTY2NTc1ODA5MTAzODE1NzM2Mi0=/sml,A Long Silence,(1989),"Print-Multiple, Lithograph,","9 7/8 , 9 7/8","478,718",898,"Strauss & Co,South Africa"
/artist/8595/marlene-dumas/,88,/artist/8595/marlene-dumas/print-multiple/20906388/the-king,https://imgprivate2.artprice.com/lots/NjM4MjExODEzNjU0Njk3NDgyMS0=/MzUyNzAwMTUwNTk1ODU2NTct/MzY0MTUwNjQ5NjE1MDU3Nzc3NS0=/OTM1NTM2MDAwNzY0NzE5MzE4NDEt/sml,The King,(1974),"Print-Multiple, Lithograph,","13 , 16 1/2","1198,1797",,"Strauss & Co,South Africa"
/artist/8595/marlene-dumas/,1413,/artist/8595/marlene-dumas/print-multiple/20864070/semite,https://imgprivate2.artprice.com/lots/NjM4MjExODEzNjU0Njk3NDgyMS0=/MjY4NzYyOTM1Mzk2NTE0NzUt/OTEzOTE0ODA0Njk5NDE2MDA1NDEt/MDE5NjMzMjMwNjI3NjA2MDEzLQ==/sml,"""Semite""",(2004),"Print-Multiple, Screenprint,","17 3/4 , 13 3/4","1127,1352",1127,"Bernaerts Veilinghuis,Belgium"
/artist/8595/marlene-dumas/,1,/artist/8595/marlene-dumas/print-multiple/20753598/faceless,,Faceless,(1993),"Print-Multiple, Lithograph,","11 , 7 7/8","2539,5078",,"Webb's,New Zealand"
/artist/8595/marlene-dumas/,30,/artist/8595/marlene-dumas/drawing-watercolor/20687085/chained-to-the-bed-for-15-years,https://imgprivate2.artprice.com/lots/NjM4MjExODEzNjU0Njk3NDgyMS0=/MjMyMjUwNTMxNjk0NjMwOTQt/MzU1MTk2NTc4ODgwNTg1NTM2NS0=/NDI0MDc4MDY1NjcwNjU3MzA3Ni0=/sml,"""Chained to the Bed for 15 Years""",(1986/87),"Drawing-Watercolor, Gouache,","46 5/8 , 114 7/8","391748,522330",339515,"Phillips,United Kingdom"
/artist/8595/marlene-dumas/,116,/artist/8595/marlene-dumas/drawing-watercolor/20632860/the-portrait-painter-s-dilemma,https://imgprivate2.artprice.com/lots/NjM4MjExODEzNjU0Njk3NDgyMS0=/NTk3NjI2OTY3ODM4MzA3NTIxLQ==/OTA3MzY0Njg0MDYyODg2NjkzNDEt/MzMzOTc3MDc3Mjk1NzUwNzcyNS0=/sml,The Portrait Painter's Dilemma,(2003),"Drawing-Watercolor, Ink,","11 3/4 , 9 1/4","10446,15669",16975,"Christie's,United Kingdom"
/artist/8595/marlene-dumas/,117,/artist/8595/marlene-dumas/drawing-watercolor/20596578/goddesses,https://imgprivate2.artprice.com/lots/NjM4MjExODEzNjU0Njk3NDgyMS0=/NTI1MDUwMzk2NTIwMjUxMDExLQ==/NjI0NzgyNzAwNjA2MjgwMzE5OS0=/MDYyNDg2MTg3MTgxMjQ4Njg5LQ==/sml,Goddesses,(1993),Drawing-Watercolor,(12),"103754,155632",220479,"Sotheby's,United Kingdom"
/artist/8595/marlene-dumas/,120,/artist/8595/marlene-dumas/drawing-watercolor/20596587/magdalena-for-kiel,https://imgprivate2.artprice.com/lots/NjM4MjExODEzNjU0Njk3NDgyMS0=/NjA2MDg0MjI0MjcyNzYxNzIxLQ==/ODU5MTUwNjQ3MDU3NTU3MTM2MzEt/MTQxMzc1ODYxNTA5ODk5MjMyMi0=/sml,"""Magdalena (For Kiel)""",(1995),"Drawing-Watercolor, Watercolour/paper,","18 1/2 , 14 7/8","38908,51877",,"Sotheby's,United Kingdom"
/artist/8595/marlene-dumas/,22,/artist/8595/marlene-dumas/painting/20595315/cathedral,https://imgprivate2.artprice.com/lots/NjM4MjExODEzNjU0Njk3NDgyMS0=/MDE0NDc4NzQ5NDk1ODM5Mi0=/NTA4NjUwNjIxODczNTg0MDcwOC0=/NTQxMTQwMDE3MjI0OTI4NzQ1OC0=/sml,"""Cathedral""",(2001),"Painting, Oil/canvas,","90 1/2 , 23 3/4","2849242,3626308",3367286,"Sotheby's,United Kingdom"
/artist/8595/marlene-dumas/,26,/artist/8595/marlene-dumas/print-multiple/20577228/a-long-silence,https://imgprivate2.artprice.com/lots/NjM4MjExODEzNjU0Njk3NDgyMS0=/NDc1NTIyMTM5NDc0NDg1OTkt/NzIwOTc4MjI3OTgyODkyOTM0MTEt/MDU4MzMxMTk5NDA4OTgwMTI5LQ==/sml,A long silence,(1989),"Print-Multiple, Lithograph in colors,","10 , 9 7/8","441,662",530,"Van Ham Kunstauktionen,Germany"
/artist/8595/marlene-dumas/,274,/artist/8595/marlene-dumas/print-multiple/20247870/alan-turing,https://imgprivate2.artprice.com/lots/NjM4MjExODEzNjU0Njk3NDgyMS0=/Mzk0NTU1MTg5NTc0ODU4MDgt/MzQ2MzAwMjEyODIzMDM1NDk0NS0=/MTY3NTYyNTAyOTUwNjI3OTM2Mi0=/sml,Alan Turing,(2015),"Print-Multiple, Print,","17 1/3 , 13 3/4","1308,1962",,"Bonhams,United Kingdom"
/artist/8595/marlene-dumas/,262,/artist/8595/marlene-dumas/print-multiple/20139903/billie,https://imgprivate2.artprice.com/lots/NjM4MjExODEzNjU0Njk3NDgyMS0=/MTk2MTM4NTA1NDQ3NDI4OTMt/ODYwNzk2OTE0MTAxNzc3NzU2MzEt/MDgwNzUwMDU3OTExODUyMTcyMS0=/sml,Billie,(1994),"Print-Multiple, Lithograph in colors,","26 , 20 1/2","2217,3326",8871,"Adams Amsterdam Auctions,Netherlands"
